id,type,name,variation,saveAs,prompt
cabs-hero-desktop,service,Outstation Cabs,1,public/images/hero/cabs-hero-desktop.png,"Create a Outstation Cabs image for YatraNexus travel website. Theme: comfortable outstation cabs anywhere in India, white SUV on scenic highway. Shot type: hero-desktop — Left third clear for text overlay. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9 1920×1080."
cabs-hero-mobile,service,Outstation Cabs,2,public/images/hero/cabs-hero-mobile.png,"Create a Outstation Cabs image for YatraNexus travel website. Theme: comfortable outstation cabs anywhere in India, white SUV on scenic highway. Shot type: hero-mobile — Vertical crop, subject center-bottom. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16 1080×1920."
cabs-service-card,service,Outstation Cabs,3,public/images/hero/cabs-service-card.png,"Create a Outstation Cabs image for YatraNexus travel website. Theme: comfortable outstation cabs anywhere in India, white SUV on scenic highway. Shot type: service-card — Package/service card thumbnail. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:2 1200×800."
cabs-cta-banner,service,Outstation Cabs,4,public/images/hero/cabs-cta-banner.png,"Create a Outstation Cabs image for YatraNexus travel website. Theme: comfortable outstation cabs anywhere in India, white SUV on scenic highway. Shot type: cta-banner — Wide CTA section background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 21:9 ultrawide."
cabs-trust-section,service,Outstation Cabs,5,public/images/hero/cabs-trust-section.png,"Create a Outstation Cabs image for YatraNexus travel website. Theme: comfortable outstation cabs anywhere in India, white SUV on scenic highway. Shot type: trust-section — Subtle background for stats/trust bar. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
cabs-how-it-works,service,Outstation Cabs,6,public/images/hero/cabs-how-it-works.png,"Create a Outstation Cabs image for YatraNexus travel website. Theme: comfortable outstation cabs anywhere in India, white SUV on scenic highway. Shot type: how-it-works — Clean illustrative step background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
cabs-social-square,service,Outstation Cabs,7,public/images/hero/cabs-social-square.png,"Create a Outstation Cabs image for YatraNexus travel website. Theme: comfortable outstation cabs anywhere in India, white SUV on scenic highway. Shot type: social-square — Instagram/LinkedIn post. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 1:1 1080×1080."
cabs-social-story,service,Outstation Cabs,8,public/images/hero/cabs-social-story.png,"Create a Outstation Cabs image for YatraNexus travel website. Theme: comfortable outstation cabs anywhere in India, white SUV on scenic highway. Shot type: social-story — Instagram story. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16."
cabs-ppt-slide,service,Outstation Cabs,9,public/images/hero/cabs-ppt-slide.png,"Create a Outstation Cabs image for YatraNexus travel website. Theme: comfortable outstation cabs anywhere in India, white SUV on scenic highway. Shot type: ppt-slide — Vendor presentation slide. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
cabs-email-header,service,Outstation Cabs,10,public/images/hero/cabs-email-header.png,"Create a Outstation Cabs image for YatraNexus travel website. Theme: comfortable outstation cabs anywhere in India, white SUV on scenic highway. Shot type: email-header — Email newsletter banner. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:1 wide."
flights-hero-desktop,service,Flight Booking,1,public/images/hero/flights-hero-desktop.png,"Create a Flight Booking image for YatraNexus travel website. Theme: airplane at airport, flight booking, domestic and international travel. Shot type: hero-desktop — Left third clear for text overlay. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9 1920×1080."
flights-hero-mobile,service,Flight Booking,2,public/images/hero/flights-hero-mobile.png,"Create a Flight Booking image for YatraNexus travel website. Theme: airplane at airport, flight booking, domestic and international travel. Shot type: hero-mobile — Vertical crop, subject center-bottom. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16 1080×1920."
flights-service-card,service,Flight Booking,3,public/images/hero/flights-service-card.png,"Create a Flight Booking image for YatraNexus travel website. Theme: airplane at airport, flight booking, domestic and international travel. Shot type: service-card — Package/service card thumbnail. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:2 1200×800."
